127.0.0.1 - - [22/Jul/2023:16:57:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2023:16:57:58 +0530] "GET /JSP/first_1.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Jul/2023:16:57:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2023:16:58:27 +0530] "GET /JSP/first_1.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [22/Jul/2023:16:58:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2023:16:58:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2023:16:58:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:02:49 +0530] "GET /JSP/first_1.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:03:02 +0530] "GET /JSP/index.html HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:03:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:03:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:03:09 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:05:11 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:05:15 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:05:15 +0530] "GET /JSP/www.google.com HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:06:02 +0530] "GET /JSP/www.google.com HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:06:04 +0530] "GET /JSP/www.google.com HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:06:04 +0530] "GET /JSP/www.google.com HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:06:12 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:17:06:16 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 302 -
